label1	proba1	label2	proba2	label3	proba3	source
trusted	0.353247	fakeNews	0.626922	satire	0.0198615	en
trusted	0.34067	fakeNews	0.636732	satire	0.0226277	en
trusted	0.592263	fakeNews	0.394124	satire	0.0136429	en
trusted	0.54301	fakeNews	0.439394	satire	0.0176259	en
trusted	0.927819	fakeNews	0.0649822	satire	0.00722866	en
trusted	0.771032	fakeNews	0.220356	satire	0.00864205	en
trusted	0.0811513	fakeNews	0.903869	satire	0.0150101	en
trusted	0.940764	fakeNews	0.0533947	satire	0.00587111	en
trusted	0.211636	fakeNews	0.770773	satire	0.0176201	en
trusted	0.17485	fakeNews	0.81003	satire	0.0151505	en
trusted	0.932232	fakeNews	0.0616159	satire	0.00618183	en
trusted	0.945023	fakeNews	0.0465125	satire	0.00849488	en
trusted	0.374017	fakeNews	0.605643	satire	0.0203696	en
trusted	0.893631	fakeNews	0.100063	satire	0.00633544	en
trusted	0.369501	fakeNews	0.612155	satire	0.0183745	en
trusted	0.19591	fakeNews	0.790763	satire	0.013357	en
trusted	0.088224	fakeNews	0.901332	satire	0.0104738	en
trusted	0.277141	fakeNews	0.704233	satire	0.0186556	en
trusted	0.459625	fakeNews	0.525002	satire	0.0154033	en
trusted	0.0831854	fakeNews	0.898128	satire	0.0187166	en
trusted	0.577061	fakeNews	0.408556	satire	0.0144129	en
trusted	0.932518	fakeNews	0.0614278	satire	0.00608422	en
trusted	0.683417	fakeNews	0.307007	satire	0.00960626	en
trusted	0.946177	fakeNews	0.0448368	satire	0.00901614	en
trusted	0.191197	fakeNews	0.795594	satire	0.0132385	en
trusted	0.163034	fakeNews	0.821004	satire	0.0159914	en
trusted	0.527902	fakeNews	0.461733	satire	0.0103951	en
trusted	0.870746	fakeNews	0.122974	satire	0.00630925	en
trusted	0.669552	fakeNews	0.32063	satire	0.00984834	en
trusted	0.477901	fakeNews	0.498003	satire	0.0241264	en
trusted	0.390458	fakeNews	0.59435	satire	0.0152221	en
trusted	0.615351	fakeNews	0.374823	satire	0.00985578	en
trusted	0.402057	fakeNews	0.576775	satire	0.0211977	en
trusted	0.801087	fakeNews	0.18376	satire	0.015183	en
trusted	0.745752	fakeNews	0.244634	satire	0.0096446	en
trusted	0.946459	fakeNews	0.0500632	satire	0.00350827	en
trusted	0.873569	fakeNews	0.116454	satire	0.0100071	en
trusted	0.777635	fakeNews	0.210506	satire	0.0118885	en
trusted	0.356946	fakeNews	0.624099	satire	0.018985	en
trusted	0.964566	fakeNews	0.0315786	satire	0.0038854	en
trusted	0.767116	fakeNews	0.222472	satire	0.0104418	en
trusted	0.737489	fakeNews	0.247292	satire	0.0152494	en
trusted	0.796532	fakeNews	0.193607	satire	0.00989053	en
trusted	0.90208	fakeNews	0.08833	satire	0.00962035	en
trusted	0.423649	fakeNews	0.528767	satire	0.0476144	en
trusted	0.824152	fakeNews	0.16711	satire	0.00876851	en
trusted	0.0400552	fakeNews	0.949234	satire	0.0107408	en
trusted	0.320556	fakeNews	0.666622	satire	0.0128514	en
trusted	0.721737	fakeNews	0.263776	satire	0.0145173	en
trusted	0.736284	fakeNews	0.253255	satire	0.0104909	en
trusted	0.797733	fakeNews	0.191932	satire	0.0103655	en
trusted	0.877499	fakeNews	0.115612	satire	0.00691943	en
trusted	0.328808	fakeNews	0.652462	satire	0.01876	en
trusted	0.367468	fakeNews	0.620062	satire	0.0124998	en
trusted	0.373876	fakeNews	0.603466	satire	0.0226885	en
trusted	0.918415	fakeNews	0.0742426	satire	0.00737237	en
trusted	0.49433	fakeNews	0.481889	satire	0.023811	en
trusted	0.85905	fakeNews	0.115686	satire	0.0252935	en
trusted	0.264211	fakeNews	0.71773	satire	0.018089	en
trusted	0.366435	fakeNews	0.623823	satire	0.00977202	en
trusted	0.858688	fakeNews	0.132017	satire	0.00932494	en
trusted	0.8172	fakeNews	0.168748	satire	0.0140815	en
trusted	0.942504	fakeNews	0.0535946	satire	0.00393127	en
trusted	0.934901	fakeNews	0.0593838	satire	0.00574566	en
trusted	0.512829	fakeNews	0.470898	satire	0.0163033	en
trusted	0.824149	fakeNews	0.15645	satire	0.0194309	en
trusted	0.219942	fakeNews	0.758468	satire	0.0216202	en
trusted	0.115998	fakeNews	0.875898	satire	0.00813473	en
trusted	0.971267	fakeNews	0.0257426	satire	0.00302087	en
trusted	0.902053	fakeNews	0.0916787	satire	0.00629854	en
trusted	0.703762	fakeNews	0.287215	satire	0.00905319	en
trusted	0.755218	fakeNews	0.237213	satire	0.00759916	en
trusted	0.91996	fakeNews	0.0731053	satire	0.00696463	en
trusted	0.270059	fakeNews	0.695173	satire	0.0347979	en
trusted	0.159111	fakeNews	0.81935	satire	0.0215687	en
trusted	0.0860509	fakeNews	0.896318	satire	0.017661	en
trusted	0.124055	fakeNews	0.86046	satire	0.015515	en
trusted	0.928123	fakeNews	0.0662313	satire	0.00567558	en
trusted	0.957915	fakeNews	0.0392762	satire	0.00283916	en
trusted	0.935556	fakeNews	0.0601803	satire	0.00429324	en
trusted	0.851403	fakeNews	0.135359	satire	0.0132679	en
trusted	0.137232	fakeNews	0.841247	satire	0.0215506	en
trusted	0.707236	fakeNews	0.281143	satire	0.0116508	en
trusted	0.121928	fakeNews	0.862331	satire	0.0157706	en
trusted	0.703982	fakeNews	0.267608	satire	0.028441	en
trusted	0.0999895	fakeNews	0.885715	satire	0.0143253	en
trusted	0.950619	fakeNews	0.0462151	satire	0.00319638	en
trusted	0.80073	fakeNews	0.186395	satire	0.0129056	en
trusted	0.915228	fakeNews	0.0774691	satire	0.00733236	en
trusted	0.899462	fakeNews	0.0863273	satire	0.014241	en
trusted	0.497019	fakeNews	0.488544	satire	0.0144669	en
trusted	0.49621	fakeNews	0.463152	satire	0.0406682	en
trusted	0.954231	fakeNews	0.0414079	satire	0.00439109	en
trusted	0.892723	fakeNews	0.101009	satire	0.00629848	en
trusted	0.928818	fakeNews	0.0664214	satire	0.00479086	en
trusted	0.689824	fakeNews	0.29442	satire	0.015787	en
trusted	0.891795	fakeNews	0.101232	satire	0.00700326	en
trusted	0.833144	fakeNews	0.153992	satire	0.0128941	en
trusted	0.71293	fakeNews	0.2711	satire	0.0159993	en
trusted	0.689956	fakeNews	0.29355	satire	0.0165249	en
trusted	0.443645	fakeNews	0.540591	satire	0.0157946	en
trusted	0.915287	fakeNews	0.0756458	satire	0.00909756	en
trusted	0.854608	fakeNews	0.137472	satire	0.0079498	en
trusted	0.717298	fakeNews	0.262927	satire	0.0198053	en
trusted	0.941465	fakeNews	0.053624	satire	0.00494128	en
trusted	0.975143	fakeNews	0.023021	satire	0.00186582	en
trusted	0.6434	fakeNews	0.339553	satire	0.0170765	en
trusted	0.697517	fakeNews	0.281971	satire	0.020542	en
trusted	0.886994	fakeNews	0.105311	satire	0.00772465	en
trusted	0.592315	fakeNews	0.391797	satire	0.0159181	en
trusted	0.928012	fakeNews	0.0674976	satire	0.0045205	en
trusted	0.441998	fakeNews	0.548142	satire	0.00989012	en
trusted	0.0904759	fakeNews	0.886067	satire	0.0234872	en
trusted	0.948028	fakeNews	0.0471764	satire	0.00482523	en
trusted	0.299626	fakeNews	0.683193	satire	0.0172104	en
trusted	0.0896971	fakeNews	0.89792	satire	0.0124131	en
trusted	0.80834	fakeNews	0.167139	satire	0.0245508	en
trusted	0.954125	fakeNews	0.0400864	satire	0.00581835	en
trusted	0.0818324	fakeNews	0.891414	satire	0.0267835	en
trusted	0.68232	fakeNews	0.29957	satire	0.0181402	en
trusted	0.194699	fakeNews	0.783865	satire	0.0214653	en
trusted	0.163762	fakeNews	0.818787	satire	0.0174807	en
trusted	0.838507	fakeNews	0.153483	satire	0.0080395	en
trusted	0.787004	fakeNews	0.189057	satire	0.0239694	en
trusted	0.190058	fakeNews	0.795196	satire	0.0147765	en
