166	2
127	39
179	91
23	10
248	5
68	4
78	153
128	3
243	253
4	490
142	7
138	508
208	166
84	2
302	23
130	71
269	17
242	0
135	2
219	61
114	510
62	11
145	6
117	22
281	9
88	0
14	0
119	270
60	1399
298	15
228	52
51	4
193	4
236	5
279	5
296	10
168	5
214	1
289	0
6	4
48	0
99	4
235	2
57	6
163	0
131	3
5	71
136	5
237	75
157	41
276	5
40	4
265	3
206	3
174	133
173	57
56	561
73	15
59	4
240	7
44	4
188	6
76	0
111	0
35	718
244	19
164	67
283	5
218	60
159	1
80	7
100	6
106	1
285	3
255	0
301	5
144	62
154	574
92	5
273	2
21	5
86	6
8	6
201	43
26	5
262	1
18	2
198	180
182	368
222	2
178	38
105	0
171	6
311	8
215	837
24	259
246	4
77	22
153	5
121	109
288	4
176	0
291	2
267	3
202	1
229	17
13	3
118	5
232	163
169	18
10	0
64	1
252	1
46	7
256	6
250	76
156	8
245	238
134	2
190	2
31	109
141	185
50	17
89	206
260	1
295	5
47	185
33	3
15	1
204	455
98	240
203	2
149	0
12	4
28	36
42	1
45	4
102	48
225	1
184	3
75	0
101	282
192	3
197	5
181	5
124	138
97	3
194	27
103	52
125	1
263	107
113	0
104	4
74	0
227	0
39	1
