1936	38
2892	7
4838	4
5225	2
1066	0
2572	62
2486	6
1423	5
1495	19
2788	2
3949	4
960	4
4965	0
70	0
2902	83
518	0
1331	1
3624	15
1218	1
1626	1
3641	17
762	61
1017	0
1753	13
5330	98
3911	3
2794	30
4192	14
1564	0
1378	19
2865	2
2535	0
4253	40
2052	4
2368	16
3900	72
2469	8
3362	29
1964	7
4205	21
2981	27
3058	6
152	1
1973	10
517	24
2733	43
3285	1
330	17
4352	68
2560	27
2716	20
865	0
4087	12
2950	4
4155	42
2758	44
1465	3
2956	1
140	0
1857	155
2532	21
2289	1
369	0
2257	2
3664	3
3205	65
5228	8
4135	7
4298	7
1427	20
1938	3
286	23
3642	41
3487	13
4208	2
1666	3
842	53
3043	2
4753	1
5082	2
5795	14
1160	274
2759	15
1117	2
743	3
4097	26
4344	67
1186	3
2429	4
1175	1
4115	6
3025	1
2653	42
3393	4
2960	27
1550	22
3315	85
3548	58
4019	53
1516	9
4804	0
897	47
1007	17
3394	36
2918	1
1703	1
2792	2
4292	0
2252	3
2541	0
2415	3
5974	29
1561	5
3310	3
34	1
1981	5
1934	4
413	44
3948	1
239	17
4048	4
4010	183
2816	4
3311	2
3579	3
3651	18
826	11
190	1
1075	4
4214	5
2420	4
452	3
4099	2
2186	1
3380	2
5982	2
2276	7
744	7
2696	1
3096	71
2344	26
3064	4
4117	0
5949	6
55	88
1259	3
1861	196
4601	2
1283	2
4070	11
2466	0
2476	3
103	0
2897	32
4053	2
3208	6
2251	28
2146	3
4002	1
3462	247
5312	1
564	20
1920	39
1494	134
3104	37
3117	21
823	3
4701	2
5231	101
3716	7
2692	3
3845	2
2935	129
2456	1
3174	29
3513	0
323	16
1446	48
2023	0
317	1
4678	0
4044	78
1361	6
1722	58
2137	1
4698	4
3207	22
1024	3
2438	88
3298	1
3055	1
1724	22
14	0
3457	13
1503	1
436	4
3151	7
2592	2
707	30
635	13
1183	15
5103	32
296	2
51	22
1162	6
4249	176
3703	44
2479	31
2585	62
2874	58
979	37
4720	0
329	191
2417	7
3477	64
3797	0
4848	25
3378	5
876	4
2674	0
2564	0
3152	15
3128	91
1308	3
40	33
1030	2
1449	2
4226	15
1713	67
3577	2
1919	2
3076	1
4782	53
3584	2
2990	43
1241	3
2549	4
4169	27
1709	0
3313	5
2870	15
2945	3
4078	4
1177	2
1084	0
4204	15
1801	44
2330	1
1020	39
612	0
1464	20
3244	4
4618	1
1829	8
4023	5
31	1
5052	3
1573	3
3068	18
561	3
2571	3
885	9
1661	57
2766	5
289	2
3316	3
801	0
2634	4
1338	69
3162	2
4659	8
2509	55
4744	48
5910	0
3257	29
3108	16
1850	196
2597	19
3587	1
1207	4
2724	17
2150	67
2884	0
3637	110
5966	0
3140	0
2468	2
3427	0
1842	3
4758	46
1827	8
1240	13
748	39
2386	4
1671	4
3684	74
2630	21
1471	43
3363	1
3877	0
5804	4
3575	3
2707	47
3175	24
5799	2
5811	3
2356	1
2321	73
671	1
3341	26
1890	67
4074	4
192	1
629	2
4770	2
5965	0
353	207
222	3
67	1
3425	2
5501	3
412	8
1002	0
2412	2
3549	9
537	115
1955	4
1971	2
2618	2
1196	0
4666	34
1821	10
340	78
213	26
356	0
679	0
2019	19
943	4
2256	0
94	51
711	5
3330	72
2034	1
4726	3
2455	13
4112	30
6034	75
2543	4
2125	51
5995	15
3534	2
2936	0
3111	1
1813	1
3909	5
1894	2
1224	6
2835	6
4700	46
5322	1
1682	15
3320	3
1314	0
5216	10
912	219
281	75
2255	39
3825	103
5264	9
3923	54
3078	4
953	1
1229	278
5957	0
3790	6
3147	1
562	1
1042	2
1992	0
2464	52
3718	0
2924	1
2088	4
2302	3
1132	51
6018	0
4060	7
3236	2
3275	6
217	1
2947	1
2174	26
4334	2
2928	37
2262	1
1987	49
2231	84
5481	32
149	3
1740	1
211	324
19	54
2327	2
5338	34
2600	0
567	8
1326	56
1434	3
3890	24
4345	2
170	16
577	0
3303	5
5089	3
3198	2
2643	22
4261	10
2849	4
3541	130
1729	53
2037	2
1272	38
3232	3
4300	2
4759	231
2843	14
2590	1
3273	2
479	1
1497	135
1010	85
3611	1
1797	11
1296	1
5086	4
1088	1
2527	1
3101	5
5991	1
4029	148
4340	3
1974	0
2829	3
2123	4
1432	3
4750	3
200	8
2745	10
2105	44
332	19
1637	2
